"taxon_names","status","min.age","max.age","site"
"Eozygodon morotoensis","extinct",20.5,23.8,1209
"Eozygodon morotoensis","extinct",20.6,21,273
"Eozygodon morotoensis","extinct",17,18,284
"Eozygodon morotoensis","extinct",17,18,286
"Eozygodon morotoensis","extinct",17.2,17.2,308
"Eozygodon morotoensis","extinct",19,20,330
"Losodokodon losodokius","extinct",24.2,27.5,1210
"Losodokodon losodokius","extinct",24.2,27.5,1211
"Mammut borsoni","extinct",2.6,5.33,804
"Mammut borsoni","extinct",1.95,2.6,1530
"Mammut obliquelophus","extinct",5.3,7.1,1533
"Zygolophodon aegyptensis","extinct",17,18,721
"Mammut borsoni","extinct",2.6,5.33,731
"Mammut borsoni","extinct",3.5,5.33,1508
"Mammut borsoni","extinct",3.4,5.3,1509
"Mammut borsoni","extinct",3.6,4.9,809
"Mammut borsoni","extinct",1.95,2.6,1510
"Mammut borsoni","extinct",5.3,9,1511
"Mammut borsoni","extinct",7.1,8.2,203
"Mammut borsoni","extinct",7.1,8.2,89
"Mammut borsoni","extinct",7.1,8.2,1512
"Mammut borsoni","extinct",7.1,8.2,1513
"Mammut borsoni","extinct",7.1,8.2,1514
"Mammut borsoni","extinct",5.3,7.1,92
"Mammut borsoni","extinct",5.4,7.1,93
"Mammut borsoni","extinct",5.3,7.1,736
"Mammut borsoni","extinct",2.6,5.33,1515
"Mammut borsoni","extinct",2.6,5.33,737
"Mammut borsoni","extinct",4.42,5.33,1516
"Mammut borsoni","extinct",4.42,5.33,1517
"Mammut borsoni","extinct",4.42,5.33,1518
"Mammut borsoni","extinct",2.6,5.33,1519
"Mammut borsoni","extinct",2.6,5.33,1520
"Mammut borsoni","extinct",2.6,5.33,1521
"Mammut borsoni","extinct",4.42,5.33,1522
"Mammut borsoni","extinct",3.5,5.33,1523
"Mammut borsoni","extinct",4.42,5.33,1524
"Mammut borsoni","extinct",2.6,5.33,738
"Mammut borsoni","extinct",2.6,5.33,1525
"Mammut borsoni","extinct",4.42,5.33,1526
"Mammut borsoni","extinct",2.6,5.33,1527
"Mammut borsoni","extinct",4.42,5.33,1528
"Mammut borsoni","extinct",4.2,5.3,739
"Mammut borsoni","extinct",3.4,4.2,743
"Mammut borsoni","extinct",3.4,4.2,744
"Mammut borsoni","extinct",3.4,4.2,748
"Mammut borsoni","extinct",2.6,3.5,1529
"Mammut borsoni","extinct",2.6,3.4,754
"Mammut borsoni","extinct",2.6,3.4,755
"Mammut borsoni","extinct",2.6,3.4,756
"Mammut borsoni","extinct",2.6,3.4,757
"Mammut borsoni","extinct",2.6,3.4,759
"Mammut borsoni","extinct",1.95,3.4,761
"Mammut borsoni","extinct",1.95,3.4,762
"Mammut borsoni","extinct",2.6,3.5,1531
"Mammut borsoni","extinct",2.6,3.4,771
"Mammut borsoni","extinct",1.95,3.4,772
"Mammut borsoni","extinct",3.4,4.2,781
"Mammut borsoni","extinct",3.4,4.2,782
"Mammut borsoni","extinct",2.6,3.4,783
"Mammut borsoni","extinct",2.6,3.4,784
"Mammut obliquelophus","extinct",5.3,7.1,1532
"Mammut obliquelophus","extinct",6.9,7.2,208
"Mammut obliquelophus","extinct",5.3,7.1,1191
"Mammut obliquelophus","extinct",5.3,7.1,1534
"Mammut obliquelophus","extinct",5.3,7.1,1192
"Miomastodon gobiensis","extinct",15.6,18.45,986
"Miomastodon gobiensis","extinct",12.5,15.2,1081
"Miomastodon gobiensis","extinct",11.1,13.5,1026
"Miomastodon gobiensis","extinct",11.2,12.85,1535
"Miomastodon gobiensis","extinct",11.2,12.85,1077
"Miomastodon gobiensis","extinct",11.2,12.5,1536
"Miomastodon gobiensis","extinct",7.1,8.2,1055
"Miomastodon metachinjiensis","extinct",16.4,17.2,337
"Miomastodon proavus","extinct",10.65,11.2,1537
"Miomastodon proavus","extinct",11.2,14.2,1541
"Sinomammut tobieni","extinct",5.3,9,1542
"Zygolophodon chinjiensis","extinct",11.2,12.5,1199
"Zygolophodon turicensis","extinct",14.2,16.4,1543
"Zygolophodon turicensis","extinct",10.1,11.2,1544
"Zygolophodon turicensis","extinct",9.5,11.2,1545
"Zygolophodon turicensis","extinct",12.85,14.2,1546
"Zygolophodon turicensis","extinct",12.85,14.2,213
"Zygolophodon turicensis","extinct",11.2,14.2,77
"Zygolophodon turicensis","extinct",11.2,12.85,1547
"Zygolophodon turicensis","extinct",9.5,11.2,1548
"Zygolophodon turicensis","extinct",7.1,9,88
"Zygolophodon turicensis","extinct",7.1,8.2,89
"Zygolophodon turicensis","extinct",7.1,8.2,91
"Zygolophodon turicensis","extinct",14.2,16.4,923
"Zygolophodon turicensis","extinct",11.2,12.85,1549
"Zygolophodon turicensis","extinct",11.2,12.85,105
"Zygolophodon turicensis","extinct",8.2,9,848
"Zygolophodon turicensis","extinct",7.1,8.2,119
"Zygolophodon turicensis","extinct",7.1,8.2,803
